practice,country,summary,img,audio
"Blaudruck/Modrotisk/Kékfestés/Modrotlač, resist block printing and indigo dyeing in Europe","Austria, Czechia, Germany, Hungary and Slovakia","Blaudruck/Modrotisk/Kékfestés/Modrotlač, which translates directly as blueprint or blue-dyeing, refers to the practice of printing a dye-resistant paste onto a cloth before dyeing over it with indigo dye. The resistant paste prevents the dye from penetrating the design, thereby ensuring the applied design remains white or undyed after the dyeing process. To apply the designs onto the cloth, practitioners use hand-crafted blocks that are up to 300 years old, featuring regionally-inspired patterns as well as generic designs or Christian motifs. The representation of local flora and fauna is interrelated with the local culture of the regions. Traditional indigo blue-dyeing does not end with printing, however: the textile chain involves preparing the raw materials and spinning, weaving, finishing, printing and dyeing them. Nowadays, businesses engaged in the practice mainly comprise small, family-owned workshops, run by the second to seventh generation of printers. Each family workshop involves the cooperation of the various family members, who each participate in every step of the production regardless of their gender. Traditional knowledge is still based on (mainly family-owned) journals dating back to the nineteenth century and passed on through observation and hands-on practice. Stakeholders feel a strong emotional bond with their products, and the element encapsulates a sense of pride in long-lasting family traditions.",N/A,https://ich.unesco.org/doc/download.php?versionID=50674
Bobbin lacemaking in Slovenia,Slovenia,"Bobbin lacemaking in Slovenia is a handicraft skill of making lace by crossing and twisting thread wound on special wooden sticks known as bobbins. Using locally recognizable patterns with local names, bobbin lacemakers make lace in bands or in finished shapes. The bobbin lacemaking process follows a specific pattern: a drawing on paper is attached to a cylinder pillow in a wicker basket or on a wooden base. The lace is used to adorn clothing and fashion accessories, church and home textiles and representative spaces, but bobbin lacemaking also serves as an inspiration for artistic creations in fields such as the contemporary visual arts, design, architecture and culinary design. It is the creative expression of all those involved in the process, including the pattern designer and the bobbin lacemaker. Bobbin lacemaking has notable therapeutic functions, and is an ecologically clean and sustainability-oriented activity. There are around 120 bobbin lacemaking societies, sections and groups in Slovenia today, which include trained bobbin lacemakers and those who are still learning. Bearers mostly comprise women, and the knowledge and skills related to the practice are most frequently passed down from grandmothers to grandchildren: the socializing of female bobbin lacemakers in neighbourhood communities is also key for transmitting related knowledge and skills.",N/A,https://ich.unesco.org/doc/download.php?versionID=50709
Celebration in honor of the Budslaŭ icon of Our Lady (Budslaŭ fest),Belarus,"The Budslaŭ Fest takes place in Budslaŭ village, in the Minsk region. Since the seventeenth century, every year on the first weekend of July tens of thousands of pilgrims from all over Belarus and other countries have come to Budslaŭ to participate in the celebrations in honor of the Budslaŭ icon of Our Lady, with some making the pilgrimage on foot. The Icon, the patroness of Belarusian people, is known for many miracles and Budslaŭ is recognized as the place where, according to legend, Our Lady appeared to believers in July 1588. Elements of the celebration include priests welcoming the pilgrims, masses, a night procession with the Icon and candles, a youth prayer vigil, and hours of prayer to the Mother of God. The tradition is an integral part of the history and culture of the local community of Budslaŭ, with bearers including people of all ages and social statuses. It attracts entire families and believers of all ages, which helps strengthen intergenerational ties. Related knowledge is preserved and transmitted by local inhabitants, who are very proud of the relic; they show pilgrims a warm welcome, inviting them to local homes to share meals with them. Pilgrims visiting Budslaŭ learn all about the local traditional culture, including the ceremony and local traditions such as crafts, customs and cuisine. ",N/A,https://ich.unesco.org/doc/download.php?versionID=50677
"Chakan, embroidery art in the Republic of Tajikistan",Tajikistan,"The art of Chakan embroidery is the practice of sewing ornaments, images of flowers and symbolic drawings with colourful threads on cotton or silk fabrics. The tradition is widespread among women and girls in Tajikistan. Chakan embroidery is used to decorate clothing and household items such as women’s shirts, headscarves, curtains, pillows, bedspreads and coverlets for cradles. The embroidery features symbolic depictions and mythological images relating to the surrounding nature and cosmos, which express people’s wishes and hopes. The practice involves selecting the textile and threads, drawing ornaments, creating needlepoint images and sewing clothes. In the past, the threads were prepared from cotton and silk fibres and coloured with natural paints made with plants and minerals: nowadays, Chakan dressmakers use fabric threads for needlework. In the Khatlon region, the Chakan shirt is an important bridal dress. Grooms wear a ‘tāqi’ (the national skullcap featuring Chakan embroidery), and Tajik women and girls wear the Chakan dress during traditional festivals and holidays. The embroidered products are an expression of beauty, elegance and the unity of humans and nature. The young generation learn the art from their mothers, grandmothers and older sisters, and transmission also occurs in groups through the so-called ‘ustod-shogird’ (master-student) method. Individual craftswomen sell their products in bazaars and through dress shops, providing an important way of earning.",N/A,https://ich.unesco.org/doc/download.php?versionID=50713
"Chidaoba, wrestling in Georgia",Georgia,"Chidaoba (wrestling) is an ancient form of martial art practised by a large proportion of the male population throughout all the regions, villages and communities of Georgia. Bearers of the tradition include young people, city residents, sports clubs, educational institutions and amateur organizations. The practice is a complex phenomenon that combines elements of wrestling, music, dance and special garments (‘chokha’). Having had a combat function until the late Middle Ages, Chidaoba gradually became a spectacular sport. Tournaments take place in an open-air arena, surrounded by a large audience, accompanied by a wind instrument (‘zurna’) and Georgian drum (‘doli’) music, which marks the beginning. Wrestlers attempt to defeat each other through special holds, and vibrant music enhances the dynamics of the contest. The code of conduct is chivalric, and occasionally the wrestlers leave the arena with a Georgian folk dance. Chidaoba uses an important number of special wrestling holds: there are an estimated 200 such holds and counter-holds, the combination of which speaks to the wrestlers’ creativity. The practice encourages a healthy lifestyle and plays an important role in intercultural dialogue. From early spring to autumn, young people practise wrestling outdoors, mastering skills previously acquired by watching matches, and there are wrestling sections in almost every village and city of Georgia.",N/A,https://ich.unesco.org/doc/download.php?versionID=50685
Dondang Sayang,Malaysia,"Dondang Sayang is a traditional Malay art still practised in Melaka by four communities: the Malay, Baba Nyonya, Chitty and Portuguese communities. The practice combines elements of music (violins, gongs and tambourines or the tambour), songs and chants, and features beautiful melodious strains of poetry. Also known as love ballads, the songs are used by communities to convey feelings of love and give advice on special topics such as love and kindness. During the Melaka Sultanate era in the fifteenth century, Dondang Sayang was performed at Royal Palace ceremonies and events; subsequently, the performance became widespread among the communities concerned. Based on tradition, Dondang Sayang performances are accompanied by music and sung by two singers of the opposite sex, who sing in quatrains. Typically, Dondang Sayang singers are individuals who are highly competent and skilled in poetry recitation. Dongdang Sayang performances are open to all, irrespective of age, occupation, status or religion, and the art is considered as a means of conveying positive messages and sharing feelings of love, joy and sorrow that strengthen community bonding. Performances are held on a regular basis, especially during gatherings, festivals and parties, and nowadays many cultural programmes, activities and training activities are organized for those interested in participating and improving their singing and performance skills.",N/A,https://ich.unesco.org/doc/download.php?versionID=50699
Festivity of Las Parrandas in the centre of Cuba,Cuba,"Held for the first time in 1820 in the town of Remedios, the Festivity of Las Parrandas is now celebrated by eighteen communities in the centre of Cuba, mostly taking place towards the final months of the year. The Parrandas is a cultural competition between the two neighbourhoods or parties into which each town is divided, with ‘spies’ attempting to spoil the surprise of the opposing neighbourhood on the night of the festivity. The two parties work all year long to prepare for the competition, which takes place on the night of the Festivity of Las Parrandas. The festivities involve a wide range of expressions, including: the design and construction of replicas and monuments, floats and costumes; songs and dances; fireworks; and decorations such as lamps, lanterns, banners and emblems allegoric to each neighbourhood. Everyone in the eighteen communities, regardless of their social class, gender, age, religion, profession or background, is involved in the festivities, and the monuments, replicas of monuments and floats constitute a spectacular display of the imagination and creativity of the groups, who recreate and re-enact stories using lights, colours and shapes. Traditional knowledge and skills related to the element are constantly combined with new elements, meaning that Las Parrandas are always traditional and contemporary at the same time.",N/A,https://ich.unesco.org/doc/download.php?versionID=50682
"Heritage of Dede Qorqud/Korkyt Ata/Dede Korkut, epic culture, folk tales and music","Azerbaijan, Kazakhstan and Turkey","The epic culture, folk tales and music of Dede Qorqud/Korkyt Ata/Dede Korkut are based on twelve heroic legends, stories and tales and thirteen traditional musical compositions shared and transmitted across the generations through oral expressions, performing arts, cultural codes and musical compositions. Dede Qorqud appears in each story as a legendary figure and wise individual, a sage of minstrels whose words, music and expressions of wisdom relate to traditions of birth, marriage and death. In the musical compositions, the main intonations are reproduced using a musical instrument called the Kobyz through the sounds of nature, and imitation soundscapes are characteristic of this medium (such as the imitation of a wolf’s howl or a swan’s note). The musical compositions are all interconnected by the epic stories that accompany them. The element encompasses social, cultural and moral values such as heroism, dialogue, physical and spiritual wellness and unity as well as respect for nature, and contains profound knowledge about the history and culture of Turkic-speaking communities. It is practised and sustained by the community concerned on a wide variety of occasions – from family events to national and international festivals – and is therefore well-rooted in society, serving as a connecting thread between generations.",N/A,https://ich.unesco.org/doc/download.php?versionID=50675
Horse and camel Ardhah,Oman,"Horse and camel Ardhah is practised across many regions of Oman. On Alardhah day (meaning the ‘day of the festival’ in Arabic), people gather around the racecourse to watch shows by horse and camel riders that reflect Omani people’s skill in dealing with and taming the animals. Traditional arts (such as the reciting of traditional poems) also accompany the demonstrations. Alardhah starts with a display of traditional acts, such as horses and camels lying down, riding standing up, joining hands with another rider at great speed, and other similar actions. This is followed by a display of horses and camels draped with decorative clothing and beautiful silver sets. Alardhah is associated with many social occasions in Omani society, such as religious and national celebrations. The practice is an integral part of the society’s culture in rural and urban areas and reflects great skill as well as people’s devotion to the care of animals. Alardhah involves both men and women and is an opportunity for traditional bands and craftspeople to display their talents. At the community level, Omanis organize Alardhah on various social occasions, which involve young people. Civil organizations also play a key role in transferring the related skills, and horse groups at the university teach students equestrian skills and how to perform Alardhah.",N/A,https://ich.unesco.org/doc/download.php?versionID=50701
Hurling,Ireland,"Hurling, or Camogie (a form of Hurling played by women), is a field game played by two teams which dates back 2,000 years and features strongly in Irish mythology, most notably in the epic saga of Cú Chulainn. It is played throughout the island of Ireland, particularly in more fertile agricultural areas, as well as overseas. Traditionally, the number of players in the game was unregulated and games were played across open fields. Nowadays, there are fifteen players on adult teams and the game is played on a clearly marked pitch. Players use a wooden stick (hurley), similar to a hockey stick but with a flat end, and a small ball (sliotar), with the aim being to use the hurley to strike the sliotar and hit it between the opposing team’s goalposts. The primary bearers and practitioners are the players, known as ‘hurlers’ (male) and ‘camógs’ (female). Hurling is considered as an intrinsic part of Irish culture and plays a central role in promoting health and wellbeing, inclusiveness and team spirit. Today, the skills are promoted and transmitted through coaching and games in schools and clubs. As the custodians of Hurling, the Gaelic Athletic Association and the Camogie Association, both volunteer-led organizations, play a central role in transmitting the skills and values associated with Hurling.",N/A,https://ich.unesco.org/doc/download.php?versionID=50687
"Khon, masked dance drama in Thailand",Thailand,"Khon, the Khon Masked Dance Drama in Thailand, is a performing art that combines musical, vocal, literary, dance, ritual and handicraft elements. Khon performances – which involve graceful dance movements, instrumental and vocal renditions and glittering costumes – depict the glory of Rama, the hero and incarnation of the god Vishnu, who brings order and justice to the world. The many episodes depict Rama’s life, including his journey in the forest, his army of monkeys, and his fights with the army of Thosakan, king of the giants. On one level, Khon represents high art cultivated by the Siamese/Thai courts over centuries, while at another level, as a dramatic performance, it can be interpreted and enjoyed by spectators from different social backgrounds. Khon has a strong didactic function, reinforcing respect for those of a higher age and status, mutual dependence between leaders and followers, the honour of rulers and the triumph of good over evil. Traditionally, Khon was transmitted in the royal or princely courts, and in dance masters’ households. Today, however, transmission occurs mostly in educational institutions, while still adhering largely to traditional methods. Concerted efforts are made to ensure the continuity of the practice, including through the establishment of training and performance clubs that help reach out to young people.",N/A,https://ich.unesco.org/doc/download.php?versionID=50714
La Romería (the pilgrimage): ritual cycle of 'La llevada' (the carrying) of the Virgin of Zapopan,Mexico,"The annual celebration of La Romería on 12 October, honouring the image of the Virgin of Zapopan, is a tradition that dates back to 1734. The day marks the final phase of the annual ritual cycle popularly known as ‘The Carrying of the Virgin’, which begins in May and encompasses many community and liturgical activities. The cycle ends with the return journey to the Basilica, in Zapopan. More than two million people take part, and one of the main features of the festivity is the huge presence and participation of different native dancer groups. The carrying (“La Llevada”) and the activities derived from the ritual cycle encompass a mass public demonstration in which the streets and public spaces become a ritual festival for the community, featuring different artistic expressions of collective collaboration. Throughout the year, the planning of the activities depends on the interaction of different communities, helping them to renew and reinforce their social ties. Thanks to the community’s support for the practice year after year, La Romería is considered as one of the most popular and strongly rooted traditions in west Mexico. Through organized civil and ecclesiastical groups, the community of bearers and practitioners has ensured the survival of this cultural manifestation.",N/A,https://ich.unesco.org/doc/download.php?versionID=50700
"Lum medicinal bathing of Sowa Rigpa, knowledge and practices concerning life, health and illness prevention and treatment among the Tibetan people in China",China,"Lum medicinal bathing of Sowa Rigpa is a practice developed by the Tibetan people as part of a life view based on the five elements and a view about health and illness centered on three dynamics (Lung, Tripa and Pekan). In Tibetan, ‘Lum’ indicates the traditional knowledge and practices of bathing in natural hot springs, herbal water or steam to adjust the balance of the body and mind, ensure health and treat illness. Influenced by the Bon religion and Tibetan Buddhism, Lum embodies folk experiences in illness prevention and treatment, and reflects the transmission of traditional knowledge represented by the Gyud zhi treatise (the Four Tantras) in present-day health practice. Bearers and practitioners include farmers, herdsmen and urban residents in Tibetan areas, with the Manpa (physician), Lum Jorkhan (pharmacist) and Manyok (assistant) bearing special responsibilities for its transmission. The element plays a key role in improving health conditions, fostering a social code of behaviour and promoting respect for nature. It has been transmitted over the generations through daily life, religious rituals, folkloric activities and medicinal practices, and has also been incorporated into the curricula of modern medical colleges as a complement to formal education.  ",N/A,https://ich.unesco.org/doc/download.php?versionID=50679
"Međimurska popevka, a folksong from Međimurje",Croatia,"Međimurska popevka, a folksong from the Međimurje region, in the north-western part of Croatia, was historically predominantly a soloist vocal genre practised by women. Nowadays, it is performed by individuals and groups, men and women, in vocal, vocal-instrumental, instrumental, monophonic and multipart renditions, as a musical genre or incorporated into the dance. The lyrics are of great importance and establish a basis for the classification into, among others, love, sad-melancholic, humorous and church popevkas. The most active bearers are mostly members of cultural-artistic societies and associations, which have a long history in the country, but individual singers also play a key role as nuanced soloist renditions are typical for popevka. The element is practised in a broad range of social contexts, from solitary music-making to family and community happenings, work gatherings, religious events, and performances within and outside of Međimurje. The average inhabitants have all experienced popevka in numerous situations throughout their lives and are encouraged to join the music-making on such occasions. There are currently around fifty singers regarded as masters of the art for their transmission of classical merits of the genre and their capacity to imbue it with personal expressions, and women often serve as mentors in transmitting the practice to younger generations.",N/A,https://ich.unesco.org/doc/download.php?versionID=50680
Mooba dance of the Lenje ethnic group of Central Province of Zambia,Zambia,"Mooba is the main dance of the Lenje ethnic group of Central Province of Zambia, performed since pre-colonial times. It is also practised in parts of Copperbelt and Lusaka Provinces, by both men and women. On certain occasions, when the dance reaches its peak, some lead dancers are possessed by ancestral spirits called BaChooba; it is said that, at this point, the spirits take the lead in dictating the flow of the dance, drumming and singing. Both male and female dancers can be possessed with BaChooba spirits. The costume includes coloured beads, a traditional skirt called a Buyombo, and rattles worn around the calves. In addition, the main dancers hold a spiritual stick known as a Chimika and a fly whisk made out of an animal’s tail. Mooba serves both entertainment and healing functions, and contributes to the spiritual identity of the community. Since the element is performed during social functions that are open to the public, children can observe and learn it freely, with performances attracting a wide audience thanks to their entertaining nature. Almost every adult knows the Mooba dance as it is the main dance of the Lenje people. The Lenje community has also established groups that perform wherever they are invited, helping to promote the practice further afield.",N/A,https://ich.unesco.org/doc/download.php?versionID=50718
"Mwinoghe, joyous dance",Malawi,"Mwinoghe is an instrumental dance performed among three ethnic communities – Sukwa, Ndali and Bandya – in the northern region of Malawi. In the Chisukwa dialect, the word ‘Mwinoghe’ literally means ‘Let us enjoy ourselves’: the dance is therefore performed to express joy and happiness. Derived from a ceremonial dance of the neighbouring Karonga district, called Indingala, Mwinoghe is a relatively recent dance. Dancers line up in two rows, with men on one side and women on the other, and perform twisting body and elaborate foot movements. There is no singing; the only sound comes from the three drums, the whistle, and the group leader’s commands. Mwinoghe is performed at social gatherings for entertainment purposes, including on days of national significance. People from all walks of life gather to watch the dance, which serves a unifying function among different communities. Other traditional dances are also organized on such occasions, enabling people to celebrate their different cultures together. Related skills and knowledge are mainly transmitted through observation and participation by young people during performances, but the practice is also integrated into primary, secondary and tertiary-level curricula. Mwinoghe features heavily in annual independence celebrations and individual communities have also created dance groups that perform at annual festivals and on other occasions.",N/A,https://ich.unesco.org/doc/download.php?versionID=50697
Nativity scene (szopka) tradition in Krakow,Poland,"The Nativity Scene (szopka) tradition in Krakow is a social practice originating from Christmas celebration customs, centred around constructing cribs. Born in the nineteenth century, the tradition is indissolubly connected to the City of Krakow and based on skills and knowledge passed down for generations. The szopka is a lightweight construction featuring the nativity scene surrounded by representations of houses and monuments of Krakow, all transformed by the individual maker. Other scenes are also represented through figurines and artificial lighting, depicting historical, cultural and contemporary social events relating to life in the City of Krakow, Poland and the world. On the first Thursday of every December, makers gather on Krakow Main Square to present their work, and the Historical Museum of the City of Krakow makes their work accessible to the public from December to February, helping to transmit knowledge related to the practice. Practitioners include a group of forty of the most active bearers, who construct new cribs every year and run workshops and lectures to promote the practice and transmit related knowledge. The tradition is open to everyone, encompassing a wide circle of people including spectators and visitors belonging to the urban community. The practice also has significant educational functions, passing on knowledge about the history of the city, its local architecture and customs.",N/A,https://ich.unesco.org/doc/download.php?versionID=50703
Picking of iva grass on Ozren mountain,Bosnia and Herzegovina,"On 11 September each year, the day of the beheading of St. John the Baptist, inhabitants of the villages around Ozren mountain go to Gostilij to pick iva grass. After hiking up the hills, villagers of all social, gender and age groups pick iva grass, both individually and in groups. Iva must be picked carefully and pickers need to find it among the higher grass; the process therefore usually takes a few hours. When the picking is done, they climb up Gostilij and assemble into smaller groups, many wearing Ozren folk costumes, to play, dance and sing traditional music. In the afternoon, Orthodox priests climb up to the peak of Gostilij where they consecrate the iva. Iva is consumed in different ways (as a tea, soaked in brandy, mixed with honey) both for its curative effect and preventively. While in the past the practice was exclusively related to folk medicine, nowadays its primary functions include hospitality and social integration, as well as helping to safeguard Ozren costumes, songs and dances that have been gradually disappearing. The practice is transmitted spontaneously within the family, as well as in primary schools. Several local associations also invite similar organizations from different regions to take part in the practice, leading to the inclusion of many practitioners from outside of Ozren.",N/A,https://ich.unesco.org/doc/download.php?versionID=50678
