Name,Precaution,valid,pages,touristvisa,vax,centry,cexit,code,Region,Climate,pop,Languages,Other languages,urban,Links
Aruba,Level 1: Exercise Normal Precautions,Must be valid at time of entry and for duration of stay,One page required for entry stamp,None,Yellow fever required if arriving from select countries,None,None,aa,Central America and the Caribbean,tropical marine; little seasonal temperature variation,116576,"Papiamento (official) (a creole language that is a mixture of Portuguese, Spanish, Dutch, English, and, to a lesser extent, French, as well as elements of African languages and the language of the Arawak) 69.4%, Spanish 13.7%, English (widely spoken) 7.1%, Dutch (official) 6.1%, Chinese 1.5%, other 1.7%, unspecified 0.4%
        (2010 est.)",,"30,000 ORANJESTAD (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/AA-flag.gif
Australia,Level 1: Exercise Normal Precautions,Must be valid at time of entry,One page required for entry stamp,Yes – visa or Electronic Travel Authority (ETA),None,"Amounts over AUD 10,000, or equivalent, must be declared","Amounts over AUD 10,000, or equivalent, must be declared",as,Oceania,generally arid to semiarid; temperate in south and east; tropical in north,23470145,"English 72.7%, Mandarin 2.5%, Arabic 1.4%, Cantonese 1.2%, Vietnamese 1.2%, Italian 1.2%, Greek 1%, other 14.8%, unspecified 6.5%
        (2016 est.)",note: data represent language spoken at home,"4.792 million Sydney, 4.771 million Melbourne, 2.338 million Brisbane, 1.991 million Perth, 1.32 million Adelaide, 423,000 CANBERRA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/AS-flag.gif
Austria,Level 1: Exercise Normal Precautions,6 months beyond planned date of departure from from the Schengen area,One page required for entry stamp,: Not required for stays under 90 days within each 180 day period,None,"10,000 Euro maximum","10,000 Euro maximum",au,Europe,"temperate; continental, cloudy; cold winters with frequent rain and some snow in lowlands and snow in mountains; moderate summers with occasional showers",8793370,"German (official nationwide) 88.6%, Turkish 2.3%, Serbian 2.2%, Croatian (official in Burgenland) 1.6%, other (includes Slovene, official in southern Carinthia, and Hungarian, official in Burgenland) 5.3%
        (2001 est.)",,1.901 million VIENNA (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/AU-flag.gif
Azerbaijan,Level 2: Exercise Increased Caution,Six months,One page per stamp,Yes,None,Travelers may bring in any amount of foreign currency as long as they declare it upon arrival,"Travelers may depart Azerbaijan with up to $10,000 USD in cash. Travelers may depart with up to $50,000 USD or equivalent provided that they declared the cash amount in writing upon arrival. For more information on currency operations, please visit the of",aj,Asia,"dry, semiarid steppe",10046516,"Azerbaijani (Azeri) (official) 92.5%, Russian 1.4%, Armenian 1.4%, other 4.7%
        (2009 est.)",,2.286 million BAKU (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/AJ-flag.gif
Bahamas,Level 2: Exercise Increased Caution,Must be valid at time of entry,Two pages are required for entry stamp,No,None,,,bf,Central America and the Caribbean,tropical marine; moderated by warm waters of Gulf Stream,332634,"English  (official), Creole  (among Haitian immigrants)",,"280,000 NASSAU (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BF-flag.gif
Bahrain,Level 1: Exercise Normal Precautions,6 months,1 page per entry stamp,Yes,None,"$10,000 ",,ba,Middle East,"arid; mild, pleasant winters; very hot, humid summers",1442659,"Arabic (official), English, Farsi, Urdu",,"565,000 MANAMA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BA-flag.gif
Bangladesh,Level 2: Exercise Increased Caution,Six months beyond planned stay.,One.,"Yes. Although U.S. citizens are eligible to apply for a tourist visa on arrival, there is no guarantee they will receive one. Some U.S. citizens have been denied entry into Bangladesh despite believing they had fulfilled the requirements for a visa on arr","Hepatitis A and Typhoid vaccinations required; Hepatitis B, Japanese Encephalitis, and Rabies vaccinations recommended.  There is no risk of Yellow Fever in Bangladesh; however, proof of Yellow Fever vaccination is required if you are traveling from a cou","You must declare 5,000 U.S. dollars and above.","You cannot depart with more USD than you declared upon entry. You cannot take more than 5,000 Bangladeshi taka out of Bangladesh.",bg,Asia,"tropical; mild winter (October to March); hot, humid summer (March to June); humid, warm rainy monsoon (June to October)",159453001,"Bangla 98.8% (official, also known as Bengali), other 1.2%
        (2011 est.)",,"19.578 million DHAKA (capital), 4.816 million Chittagong, 975,000 Khulna, 880,000 Rajshahi, 776,000 Sylhet",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BG-flag.gif
Barbados,Level 1: Exercise Normal Precautions,Must be valid at time of entry,1 page required for entry stamp,Not required for stays under 6 months,None,None,None,bb,Central America and the Caribbean,tropical; rainy season (June to October),293131,"English (official), Bajan (English-based creole language, widely spoken in informal settings)",,"89,000 BRIDGETOWN (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BB-flag.gif
Belarus,Level 1: Exercise Normal Precautions,,,,None,"USD $10,000","USD $10,000",bo,Europe,"cold winters, cool and moist summers; transitional between continental and maritime",9527543,"Russian (official) 70.2%, Belarusian (official) 23.4%, other 3.1% (includes small Polish- and Ukrainian-speaking minorities), unspecified 3.3%
        (2009 est.)",,2.005 million MINSK (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BO-flag.gif
Belgium,Level 2: Exercise Increased Caution,Must be valid for at least three months beyond your planned date of departure from the Schengen area. The 12-page U.S. emergency passport is not valid for visa-free entry into Belgium.,2 pages minimum,Not required for stays under 90 days,None,"10,000 Euros or equivalent","10,000 Euros or equivalent",be,Europe,"temperate; mild winters, cool summers; rainy, humid, cloudy",11570762,"Dutch (official) 60%, French (official) 40%, German (official)  less than 1%",,"2.05 million BRUSSELS (capital), 1.032 million Antwerp",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BE-flag.gif
Belize,Level 2: Exercise Increased Caution,Length of stay,One page per stamp,Not required for stays of 30 days or less,None,"$5,000 ","$5,000 ",bh,Central America and the Caribbean,tropical; very hot and humid; rainy season (May to November); dry season (February to May),385854,"English 62.9% (official), Spanish 56.6%, Creole 44.6%, Maya 10.5%, German 3.2%, Garifuna 2.9%, other 1.8%, unknown 0.3%, none 0.2% (cannot speak)
        (2010 est.)",note: shares sum to more than 100% because some respondents gave more than one answer on the census,"23,000 BELMOPAN (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BH-flag.gif
Benin,Level 1: Exercise Normal Precautions,Must be valid at time of entry,One page required for entry stamp,Yes,Yellow fever vaccine required,None,None,bn,Africa,"tropical; hot, humid in south; semiarid in north",11340504,"French  (official), Fon and Yoruba  (most common vernaculars in south), tribal languages  (at least six major ones in north)",,"285,000 PORTO-NOVO (capital), 685,000 COTONOU (seat of government), 928,000 Abomey-Calavi",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BN-flag.gif
Bermuda,Level 1: Exercise Normal Precautions,Must be valid at time of entry,One page required for entry stamp,No,None,None,None,bd,North America,"subtropical; mild, humid; gales, strong winds common in winter",71176,"English (official), Portuguese",,"10,000 HAMILTON (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BD-flag.gif
Bhutan,Level 1: Exercise Normal Precautions,Six months from date of arrival,One page required for entry stamp,Yes,Suggested,"USD 10,000","USD 10,000",bt,Asia,varies; tropical in southern plains; cool winters and hot summers in central valleys; severe winters and cool summers in Himalayas,766397,"Sharchhopka 28%, Dzongkha (official) 24%, Lhotshamkha 22%, other 26% (includes foreign languages)
        (2005 est.)",,"203,000 THIMPHU (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BT-flag.gif
Bolivia,Level 1: Exercise Normal Precautions,Six months (as of entry date into the country),One page per stamp,Yes,Yellow Fever,"$10,000 ","$10,000 ",bl,South America,varies with altitude; humid and tropical to cold and semiarid,11306341,"Spanish (official) 60.7%, Quechua (official) 21.2%, Aymara (official) 14.6%, foreign languages 2.4%, Guarani (official) 0.6%, other native languages 0.4%, none 0.1%
        (2001 est.)","note: Bolivia's 2009 constitution designates Spanish and all indigenous languages as official; 36 indigenous languages are specified, including a few that are extinct","1.814 million LA PAZ (capital), 1.641 million Santa Cruz, 1.24 million Cochabamba, 278,000 Sucre (constitutional capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BL-flag.gif
"Bonaire, Sint Eustatius and Saba",Level 1: Exercise Normal Precautions,Must be valid for period of stay.,One page required for entry stamp,None required for visits up to 180 days,None,None,None,,,,,,,,
Bosnia and Herzegovina,Level 2: Exercise Increased Caution,Three months past your planned date of departure,One page required for entry stamp,Not required for stays under three months,None,"Amounts exceeding 10,000 Euros or equivalent must be declared on arrival","Amounts exceeding 10,000 Euros or equivalent require a bank certificate that the amount has been taken out from currency savings or bought from an authorized bank",bk,Europe,"hot summers and cold winters; areas of high elevation have short, cool summers and long, severe winters; mild, rainy winters along coast",3849891,"Bosnian (official) 52.9%, Serbian (official) 30.8%, Croatian (official) 14.6%, other 1.6%, no answer 0.2%
        (2013 est.)",,"343,000 SARAJEVO (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BK-flag.gif
Botswana,Level 1: Exercise Normal Precautions,6 months,Three or more unused pages; one blank page per entry,No,"Yes, if entering from yellow fever endemic countries",None,None,bc,Africa,semiarid; warm winters and hot summers,2249104,"Setswana 77.3%, Sekalanga 7.4%, Shekgalagadi 3.4%, English (official) 2.8%, Zezuru/Shona 2%, Sesarwa 1.7%, Sembukushu 1.6%, Ndebele 1%, other 2.8%
        (2011 est.)",,"269,000 GABORONE (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BC-flag.gif
Brazil,Level 2: Exercise Increased Caution,Must be valid on the date of entry,One page required for entry stamp,Yes,"None required, but see Health section","More than 10,000 BR must be declared to Customs","More than 10,000 BR must be declared to Customs",br,South America,"mostly tropical, but temperate in south",208846892,Portuguese  (official and most widely spoken language),"note: less common languages include Spanish (border areas and schools), German, Italian, Japanese, English, and a large number of minor Amerindian languages","21.65 million Sao Paulo, 13.293 million Rio de Janeiro, 5.972 million Belo Horizonte, 4.47 million BRASILIA (capital), 4.094 million Porto Alegre, 4.028 million Recife",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BR-flag.gif
British Virgin Islands,Level 1: Exercise Normal Precautions,Must be valid at time of entry,1 page required for entry stamp,Not required for stays up to one month,None,None,None,vi,Central America and the Caribbean,subtropical; humid; temperatures moderated by trade winds,35802,English  (official),,"15,000 ROAD TOWN (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/VI-flag.gif
Brunei,Level 1: Exercise Normal Precautions,6 months beyond arrival date,"One page required for entry stamp, six blank visa pages",Not required for stays under 90 days,None required,"BND 15,000","BND 15,000",bx,Southeast Asia,"tropical; hot, humid, rainy",450565,"Malay (Bahasa Melayu)  (official), English, Chinese dialects",,"241,000 BANDAR SERI BEGAWAN (capital)
        (2011)


note: the boundaries of the capital city were expanded in 2007, greatly increasing the city area; the population of the capital increased tenfold",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BX-flag.gif
Bulgaria,Level 1: Exercise Normal Precautions,Three months beyond departure date from Bulgaria.,One blank page for entry/exit stamps.,No for stays under 90 days.,None.,"10,000 Euros or equivalent.","10,000 Euros or equivalent.",bu,Europe,"temperate; cold, damp winters; hot, dry summers",7057504,"Bulgarian (official) 76.8%, Turkish 8.2%, Romani 3.8%, other 0.7%, unspecified 10.5%
        (2011 est.)",,1.272 million SOFIA (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BU-flag.gif
Burkina Faso,Level 3: Reconsider Travel,Must be valid at time of entry,One blank page required for entry stamp,Yes,Yellow fever,None,None,uv,Africa,"tropical; warm, dry winters; hot, wet summers",19742715,"French  (official), French  native African languages belonging to Sudanic family spoken by 90% of the population",,"2.531 million OUAGADOUGOU (capital), 879,000 Bobo-Dioulasso",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/UV-flag.gif
Burma,Level 2: Exercise Increased Caution,6 Months,One page required for entry stamp,Yes,Yellow fever may be required if arriving from certain countries with yellow fever,"Amounts in excess of USD 10,000 must be declared upon entry","Amounts in excess of USD 10,000 must be declared upon exit",bm,Southeast Asia,"tropical monsoon; cloudy, rainy, hot, humid summers (southwest monsoon, June to September); less cloudy, scant rainfall, mild temperatures, lower humidity during winter (northeast monsoon, December to April)",55622506,Burmese (official),note: minority ethnic groups use their own languages,"5.157 million RANGOON (Yangon) (capital), 1.374 million Mandalay",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BM-flag.gif
Burundi,Level 3: Reconsider Travel,N/A,N/A,N/A,N/A,N/A,N/A,by,Africa,"equatorial; high plateau with considerable altitude variation (772 m to 2,670 m above sea level); average annual temperature varies with altitude from 23 to 17 degrees Celsius but is generally moderate as the average altitude is about 1,700 m; average ann",11844520,"Kirundi 29.7% (official), Kirundi and other language 9.1%, French (official); French and other language 0.3%, Swahili; Swahili and other language 0.2% (along Lake Tanganyika and in the Bujumbura area), English (official); English and other language 0.06%, more than 2 languages 3.7%, unspecified 56.9%
        (2008 est.)",note: data represent language read and written by people 10 years of age or older; spoken Kirundi is nearly universal,"899,000 BUJUMBURA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/BY-flag.gif
Cabo Verde,Level 1: Exercise Normal Precautions,Must be valid at time of entry,One page required for entry stamp,Yes,None,None,Certificates from Bank of Cabo Verde required to depart with more than 1 million Cabo Verdean escudos,cv,Africa,"temperate; warm, dry summer; precipitation meager and erratic",568373,"Portuguese (official), Crioulo  (a blend of Portuguese and West African words)",,"168,000 PRAIA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/CV-flag.gif
Cambodia,Level 1: Exercise Normal Precautions,Six months.,One page is required for entry stamp.,Yes.,None.,"The import of local currency (Riel) is prohibited. When entering Cambodia, foreign currency amounts over US $10,000 must be declared.",The export of local currency (Riel) is prohibited. Foreign currency can be taken out of the country up to the limit declared at customs on arrival.,cb,Southeast Asia,"tropical; rainy, monsoon season (May to November); dry season (December to April); little seasonal temperature variation",16449519,"Khmer (official) 96.3%, other 3.7%
        (2008 est.)",,1.952 million PHNOM PENH (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/CB-flag.gif
Cameroon,Level 2: Exercise Increased Caution,Six months,One page per stamp,Yes,Yellow fever,None,"While there are no official restrictions, travelers are required to make a declaration when they are exiting with XAF 3,000,000 or more.",cm,Africa,"varies with terrain, from tropical along coast to semiarid and hot in north",25640965,"24 major African language groups, English  (official), French  (official)",,"3.656 million Douala, 3.412 million YAOUNDE (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/CM-flag.gif
Canada,Level 1: Exercise Normal Precautions,"Valid at time of entry. If you are transiting Canada en route to Europe, your passport must be valid for at least 3 months beyond your planned date of departure from the Schengen area.",One page required,Not required for stays under 180 days,None,None,None,ca,North America,varies from temperate in south to subarctic and arctic in north,35881659,"English (official) 58.7%, French (official) 22%, Punjabi 1.4%, Italian 1.3%, Spanish 1.3%, German 1.3%, Cantonese 1.2%, Tagalog 1.2%, Arabic 1.1%, other 10.5%
        (2011 est.)",,"6.082 million Toronto, 4.172 million Montreal, 2.531 million Vancouver, 1.477 million Calgary, 1.397 million Edmonton, 1.363 million OTTAWA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/CA-flag.gif
Cayman Islands,Level 1: Exercise Normal Precautions,Must be valid at the time of entry and exit,One page required for entry stamp,None required,None required,None,None,cj,Central America and the Caribbean,"tropical marine; warm, rainy summers (May to October) and cool, relatively dry winters (November to April)",59613,"English (official) 90.9%, Spanish 4%, Filipino 3.3%, other 1.7%, unspecified 0.1%
        (2010 est.)",,"35,000 GEORGE TOWN (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/CJ-flag.gif
Central African Republic,Level 4: Do Not Travel,6 months,One page required for entry stamp,"No, but may still be required by airline.","Required, including for Yellow Fever.",All currency must be declared upon entry,None,ct,Africa,"tropical; hot, dry winters; mild to hot, wet summers",5745062,"French  (official), Sangho  (lingua franca and national language), tribal languages",,"851,000 BANGUI (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/CT-flag.gif
Chad,Level 3: Reconsider Travel,6 months,2 pages,"Yes, obtain in advance",Yellow fever,"Declare amounts over 5 million CFA ($10,800)",,cd,Africa,"tropical in south, desert in north",15833116,"French (official), Arabic (official), Sara (in south), more than 120 different languages and dialects",,1.323 million N'DJAMENA (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/CD-flag.gif
Chile,Level 1: Exercise Normal Precautions,For the duration of stay,One page required for entry stamp,Not required for stays of 90 days or less (tourist passports only),None,None,None,ci,South America,temperate; desert in north; Mediterranean in central region; cool and damp in south,17925262,"Spanish 99.5% (official), English 10.2%, indigenous 1% (includes Mapudungun, Aymara, Quechua, Rapa Nui), other 2.3%, unspecified 0.2%
        (2012 est.)",note: shares sum to more than 100% because some respondents gave more than one answer on the census,"6.68 million SANTIAGO (capital), 967,000 Valparaiso, 857,000 Concepcion",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/CI-flag.gif
China,Level 2: Exercise Increased Caution,Six months,Two pages,Yes,None,"Max RMB 20,000","Max RMB 20,000",ch,Asia,extremely diverse; tropical in south to subarctic in north,1384688986,"Standard Chinese or Mandarin  (official; Putonghua, based on the Beijing dialect), Yue  (Cantonese), Wu  (Shanghainese), Minbei  (Fuzhou), Minnan  (Hokkien-Taiwanese), Xiang, Gan, Hakka dialects, minority languages  (see Ethnic groups entry)","note: Zhuang is official in Guangxi Zhuang, Yue is official in Guangdong, Mongolian is official in Nei Mongol, Uighur is official in Xinjiang Uygur, Kyrgyz is official in Xinjiang Uygur, and Tibetan is official in Xizang (Tibet)","25.582 million Shanghai, 19.618 million BEIJING (capital), 14.838 million Chongqing, 12.683 million Guangdong, 13.215 million Tianjin, 11.908 million Shenzhen",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/CH-flag.gif
Colombia,Level 2: Exercise Increased Caution,Must be valid at time of entry.,One page required for entry stamp.,Not required for stays 90 days or less.,"Yellow fever vaccine, documented on the WHO International Certificate of Vaccination, is required for travelers coming from Brazil, Angola, Democratic Republic of Congo, and Uganda. The vaccine must have been administered at least 10 days before arrival i","10,000 USD maximum.","10,000 USD maximum.",co,South America,tropical along coast and eastern plains; cooler in highlands,48168996,Spanish (official),,"10.574 million BOGOTA (capital), 3.934 million Medellin, 2.726 million Cali, 2.218 million Barranquilla, 1.295 million Bucaramanga, 1.047 million Cartagena",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/CO-flag.gif
Comoros,Level 3: Reconsider Travel,Must be valid at time of entry,1page,"Yes, available upon arrival",None,No,No,cn,Africa,tropical marine; rainy season (November to May),821164,"Arabic  (official), French  (official), Shikomoro  (official; a blend of Swahili and Arabic) (Comorian)",,"62,000 MORONI (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/CN-flag.gif
Costa Rica,Level 1: Exercise Normal Precautions,Length of stay,1 page per entry stamp,"Not required for stays less than 90 days, but return ticket required","Yellow fever, if arriving from certain countries in South America or Africa","10,000 USD","10,000 USD",cs,Central America and the Caribbean,tropical and subtropical; dry season (December to April); rainy season (May to November); cooler in highlands,4987142,"Spanish  (official), English",,1.358 million SAN JOSE (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/CS-flag.gif
Côte d'Ivoire,Level 2: Exercise Increased Caution,6 months validity upon entry,1 page,Yes,Yellow fever required,None,"May not leave with more than $1,000",iv,Africa,"tropical along coast, semiarid in far north; three seasons - warm and dry (November to March), hot and dry (March to May), hot and wet (June to October)",26260582,"French  (official), 60 native dialects of which  Dioula is the most widely spoken",,"4.921 million ABIDJAN (seat of government), 231,000 YAMOUSSOUKRO (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/IV-flag.gif
Croatia,Level 1: Exercise Normal Precautions,Three months after the planned date of departure,One page is required for an entry stamp,No,None,"Up to 10,000 euros","Up to 10,000 euros",hr,Europe,"Mediterranean and continental; continental climate predominant with hot summers and cold winters; mild winters, dry summers along coast",4270480,"Croatian (official) 95.6%, Serbian 1.2%, other 3% (including Hungarian, Czech, Slovak, and Albanian), unspecified 0.2%
        (2011 est.)",,"686,000 ZAGREB (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/HR-flag.gif
Cuba,Level 2: Exercise Increased Caution,Must be valid at time of entry,Two pages are required for entry/exit stamps,"Tourist travel to Cuba remains prohibited. You must obtain a license from the Department of Treasury or your travel must fall into one of 12 categories of authorized travel. See ENTRY, EXIT & VISA REQUIREMENTS below.",None required. See CDC for recommendations,"U.S. credit and debit cards generally do not work in Cuba. Bring cash to cover your stay. The Cuban government requires that travelers declare cash amounts over 5,000 USD. Travelers should note that the Government of Cuba charges a 10 percent fee for all","The export of Cuban convertible pesos (CUC) is strictly prohibited, regardless of the amount. When departing Cuba, U.S. travelers are advised to exchange Cuban convertible pesos (CUC) back to US Dollars well before reaching airport security checkpoints to",cu,Central America and the Caribbean,tropical; moderated by trade winds; dry season (November to April); rainy season (May to October),11116396,Spanish (official),,2.136 million HAVANA (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/CU-flag.gif
Curaçao,Level 1: Exercise Normal Precautions,Must be valid for duration of trip. More information on entry requirements here,One page required for entry stamp,None,Only if arriving from a country with yellow fever risk.,None,None,,,,,,,,
Cyprus,Level 1: Exercise Normal Precautions,Six months remaining validity recommended,Two pages for entry stamp,Not required for stays under 90 days,None,None,None,cy,Middle East,"temperate; Mediterranean with hot, dry summers and cool winters",1237088,"Greek (official) 80.9%, Turkish (official) 0.2%, English 4.1%, Romanian 2.9%, Russian 2.5%, Bulgarian 2.2%, Arabic 1.2%, Filipino 1.1%, other 4.3%, unspecified 0.6%
        (2011 est.)",note: data represent only the government-controlled area of Cyprus,"269,000 NICOSIA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/CY-flag.gif
